Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,location,City,Base_Model,DemandScore,days_in_inventory,past_demand,days_on_platform
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,Hyderabad,Hyderabad,corolla altis,66,22,59,65
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,Jaipur,Chennai,etios gd,54,53,58,75
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,Chennai,Ahmedabad,innova,34,141,29,18
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,Chennai,Lucknow,innova,47,29,41,88
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,Bangalore,Delhi,innova,35,126,25,79
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,Mumbai,Chennai,camry,72,59,73,14
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,Ahmedabad,Mumbai,land cruiser,78,57,72,84
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,Lucknow,Lucknow,corolla altis,30,104,31,74
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,Kolkata,Delhi,etios liva,60,144,54,35
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,Mumbai,Delhi,etios g,77,144,75,19
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,Bangalore,Mumbai,corolla altis,70,117,75,18
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,Hyderabad,Delhi,innova,35,133,27,20
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,Ahmedabad,Jaipur,innova,66,106,70,19
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,Pune,Kolkata,fortuner,38,36,46,47
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,Bangalore,Chennai,corolla altis,76,34,77,19
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,Chennai,Delhi,corolla altis,75,20,69,56
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,Delhi,Mumbai,innova,58,20,48,25
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,Pune,Pune,corolla altis,40,72,46,51
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,Hyderabad,Jaipur,corolla altis,40,92,35,45
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,Hyderabad,Delhi,fortuner,57,127,48,31
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,Jaipur,Kolkata,royal enfield,75,80,76,23
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,Lucknow,Pune,um renegade,58,52,58,27
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,ktm rc200,58,43,56,74
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,Jaipur,Pune,bajaj dominar,72,66,78,32
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,Jaipur,Hyderabad,royal enfield,33,93,26,11
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,Delhi,Delhi,ktm rc390,45,119,49,34
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,Kolkata,Ahmedabad,hyosung gt250r,83,115,77,35
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,Chennai,Jaipur,royal enfield,86,110,82,61
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,Hyderabad,Bangalore,royal enfield,58,107,61,38
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,Ahmedabad,Pune,royal enfield,95,114,88,14
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,Chennai,Delhi,ktm rc200,58,84,52,50
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,royal enfield,83,147,83,62
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,Pune,Kolkata,ktm 390,55,31,51,79
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,Hyderabad,Ahmedabad,mahindra mojo,41,36,39,15
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,Bangalore,Kolkata,royal enfield,75,115,74,12
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,Mumbai,Chennai,royal enfield,42,83,38,52
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,Hyderabad,Jaipur,royal enfield,86,107,89,68
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,Chennai,Hyderabad,royal enfield,33,65,36,37
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,Lucknow,Hyderabad,royal enfield,33,123,25,15
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,Mumbai,Ahmedabad,royal enfield,83,28,88,16
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,Chennai,Mumbai,bajaj pulsar,38,60,28,22
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,royal enfield,86,106,76,63
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,Ahmedabad,Ahmedabad,royal enfield,83,85,76,67
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,Delhi,Ahmedabad,royal enfield,83,21,88,17
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,Kolkata,Mumbai,royal enfield,40,134,40,29
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,royal enfield,84,90,87,86
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,Bangalore,Mumbai,bajaj avenger,46,139,44,59
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,Bangalore,Ahmedabad,bajaj avenger,50,70,40,85
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,Mumbai,Kolkata,honda cb,53,89,45,35
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,Mumbai,Jaipur,yamaha fz,38,118,35,38
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,Chennai,Lucknow,honda cb,45,22,50,50
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,Bangalore,Jaipur,yamaha fz,38,67,44,81
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,Hyderabad,Mumbai,bajaj avenger,46,83,38,61
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,Delhi,Hyderabad,bajaj avenger,65,53,73,35
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,Pune,Ahmedabad,tvs apache,78,20,75,69
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,Delhi,Pune,bajaj pulsar,90,91,89,74
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,Delhi,Jaipur,honda cbr,44,59,40,88
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,Lucknow,Kolkata,hero extreme,44,91,51,27
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,Pune,Jaipur,honda cb,71,22,71,78
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,bajaj avenger,87,107,89,72
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,Jaipur,Jaipur,honda cbr,44,45,39,49
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,Hyderabad,Mumbai,bajaj avenger,46,77,51,15
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,Jaipur,Bangalore,yamaha fz,42,139,45,80
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,Jaipur,Lucknow,yamaha fz,83,66,91,58
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,Hyderabad,Lucknow,bajaj pulsar,58,115,62,29
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,Delhi,Bangalore,tvs apache,42,91,39,54
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,Ahmedabad,Pune,hero extreme,88,100,86,21
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,Lucknow,Kolkata,yamaha fz,52,105,46,48
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,Ahmedabad,Delhi,bajaj pulsar,66,48,63,45
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,Mumbai,Lucknow,bajaj pulsar,58,141,62,66
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,Kolkata,Hyderabad,tvs apache,41,113,37,51
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,Lucknow,Lucknow,hero passion,49,86,53,34
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,Lucknow,Lucknow,bajaj pulsar,58,45,51,32
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,Pune,Kolkata,bajaj pulsar,47,59,47,43
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,Delhi,Jaipur,yamaha fazer,70,47,68,36
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,Lucknow,Mumbai,honda activa,34,48,26,50
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,Ahmedabad,Chennai,tvs sport,94,122,103,22
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,Kolkata,Lucknow,yamaha fz,83,71,84,81
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,Mumbai,Lucknow,honda dream,87,64,81,70
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,Jaipur,Ahmedabad,honda activa,80,95,86,72
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,Mumbai,Ahmedabad,bajaj avenger,50,102,55,18
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,Lucknow,Kolkata,tvs apache,72,91,66,56
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,Chennai,Ahmedabad,bajaj pulsar,89,38,92,35
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,Delhi,Delhi,bajaj avenger,57,114,57,33
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,Hyderabad,Bangalore,hero splender,50,95,55,43
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,Mumbai,Mumbai,activa 3g,63,126,63,67
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,Chennai,Bangalore,hero passion,90,146,96,21
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,Delhi,Delhi,tvs apache,53,61,46,89
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,Pune,Mumbai,honda cb,94,89,87,81
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,Lucknow,Bangalore,hero splender,50,107,54,40
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,Jaipur,Delhi,yamaha fz,92,101,97,79
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,Hyderabad,Jaipur,hero passion,41,127,46,34
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,Kolkata,Jaipur,bajaj pulsar,38,42,36,83
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,Jaipur,Bangalore,activa 4g,56,136,54,35
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,Ahmedabad,Jaipur,honda cb,71,69,61,84
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,Mumbai,Mumbai,hero honda,51,39,48,30
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,Lucknow,Delhi,honda karizma,35,132,27,36
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,Hyderabad,Ahmedabad,honda activa,80,22,87,11
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,Pune,Bangalore,tvs jupyter,72,88,70,23
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,honda karizma,67,92,58,14
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,Chennai,Mumbai,hero honda,51,55,59,89
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,Lucknow,Pune,hero splender,65,143,71,79
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,Mumbai,Mumbai,honda cb,94,149,85,78
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,Lucknow,Mumbai,bajaj discover,86,20,83,57
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,Chennai,Pune,bajaj pulsar,90,34,82,11
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,Delhi,Ahmedabad,suzuki access,31,48,33,35
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,Chennai,Jaipur,tvs wego,82,42,87,16
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,Ahmedabad,Mumbai,honda cb,94,106,91,74
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,Bangalore,Bangalore,hero glamour,78,130,81,57
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,Mumbai,Bangalore,hero super,88,50,96,79
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,Bangalore,Mumbai,bajaj pulsar,38,52,36,72
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,Chennai,Kolkata,bajaj discover,91,29,85,24
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,Kolkata,Chennai,hero hunk,65,102,70,78
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,Delhi,Bangalore,hero  ignitor,33,129,23,71
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,Lucknow,Chennai,hero  cbz,50,89,43,10
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,Pune,Kolkata,bajaj  ct,41,143,43,73
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,Pune,Hyderabad,activa 3g,52,67,47,17
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,Jaipur,Ahmedabad,honda cb,73,99,78,42
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,Jaipur,Hyderabad,bajaj discover,34,105,25,57
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,Hyderabad,Delhi,honda cb,78,21,79,11
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,Ahmedabad,Chennai,bajaj pulsar,46,31,54,43
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,Chennai,Lucknow,i20,30,26,36,67
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,Delhi,Kolkata,grand i10,36,83,34,67
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,Bangalore,Pune,i10,59,58,51,57
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,Mumbai,Chennai,eon,56,54,64,44
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,Hyderabad,Chennai,grand i10,58,96,49,36
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,Kolkata,Bangalore,xcent,58,24,53,45
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,Chennai,Mumbai,grand i10,30,84,26,21
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,Mumbai,Bangalore,i20,51,88,41,37
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,Kolkata,Kolkata,grand i10,36,70,42,33
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,Delhi,Kolkata,i10,60,35,68,34
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,Chennai,Bangalore,elantra,84,112,83,29
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,Chennai,Pune,creta,90,107,90,74
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,Ahmedabad,Bangalore,i20,51,29,56,89
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,Jaipur,Hyderabad,grand i10,58,140,52,11
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,Pune,Mumbai,verna,45,30,54,18
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,Pune,Delhi,eon,53,65,47,11
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,Mumbai,Ahmedabad,eon,35,111,38,37
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,Kolkata,Ahmedabad,verna,80,23,72,70
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,Lucknow,Lucknow,verna,45,108,42,64
